election,candidate,POC_support,White_support
LG18P,Barnes,0.9093414784215,0.6263342123362778
GOV18P,Mitchell,0.8761067945910557,0.12150368245239518
SOS18P,Martin,0.5112877417194283,0.3022047236857469
PRES20,Biden,1.0467690258970603,0.40687035435578567
GOV18,Evers,1.0457298390433278,0.4076451879443229
SOS18,LaFollette,1.047003768738328,0.43393552912273636
TRE18,Godlewski,1.0554595788436778,0.423987064503347
AG18,Kaul,1.0371431727647682,0.4067601444640533
SEN18,Baldwin,1.0454108353312945,0.46484969019735256
PRES16,Clinton,1.0472954800506271,0.39274887774760325
SEN16,Feingold,1.0027991667775584,0.386542487225521
GOV14,Burke,0.9925413042262208,0.37381823683977866
SOS14,LaFollette,0.993646639318197,0.4311743945447438
TRE14,Sartori,0.9871395345407765,0.38324556030690793
AG14,Happ,0.9843517077610027,0.3720334451048447
PRES12,Obama,1.0086892440404651,0.44048955479575924
SEN12,Baldwin,0.9842253215247572,0.43821085201282317
