race,COMP18D,COMP18R,COMP18Turnout
WVAP,0.5249 (0.4722-0.5761),0.4751 (0.4239-0.5278),0.5743 (0.5322-0.6151)
BVAP,0.5595 (0.2666-0.849),0.4405 (0.151-0.7334),0.5336 (0.3021-0.7676)
HVAP,0.4902 (0.1701-0.797),0.5098 (0.203-0.8299),0.6692 (0.3981-0.8979)
OVAP,0.5187 (0.1853-0.8555),0.4813 (0.1445-0.8147),0.6797 (0.4012-0.8995)
